address,checkins,city,country,created,icon,latitude,longitude,pid,title,type,updated
Ланское шоссе 48,0.0,42.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,51.680157,39.175467,42.0,Tarantul,4.0,1352796109.0
Комсомольская 2,12.0,151.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,54.737465,55.990797,43.0,Sova,4.0,1487875573.0
просп. Мира 119,4.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.828703,37.633688,44.0,M-Club,4.0,1343241861.0
просп. Мира 150,13.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.822463,37.646768,45.0,Happyland,4.0,1477952343.0
Маяковского 65К1,65.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.730466,37.623726,46.0,FAQ-Caf?,4.0,1450637272.0
Волков пер. 13К1,1.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.76365,37.574013,47.0,Все свои,4.0,1398891495.0
3-я ул. Ямского поля 15,5.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.782486,37.579381,48.0,Мажор Холл,4.0,1481352467.0
Попова 6,1.0,49.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,56.83617,60.592444,49.0,Tele-port,4.0,1339512172.0
Дачная 2,13.0,123.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,53.20206,50.141302,50.0,Айсберг,4.0,1489348716.0
Толмачева 12,3.0,49.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,56.838258,60.61024,51.0,Квартира,4.0,1317407641.0
Блюхера 58,7.0,49.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,56.846095,60.632455,52.0,F1,4.0,1489065837.0
Тельмана 46,4.0,72.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,45.04084,38.987512,53.0,V-Twin,4.0,1450563400.0
Большой просп. П.С. 43,4.0,2.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,59.960769,30.304882,54.0,Держись,4.0,1481833684.0
просп. Ленина 97,0.0,87.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,68.975689,33.094932,55.0,Умка,4.0,1334576477.0
Летниковская 6а,3.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.726056,37.644585,56.0,Восточный дом,4.0,1476253334.0
Холодильный пер. 3,52.0,1.0,1.0,1280741941.0,https://vk.com/images/places/clubs.png,55.708917,37.625451,57.0,Tuning Hall,4.0,1478730326.0
